,Close,Contract,Year,ContractSymbol_x,ContractSymbol1,ContractSymbol_y,Expiration,SettlementPrice,DaysToExpiry,Close_next
24/01/2014,16.21,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,19/02/2014,15.47,26,
27/01/2014,16.09,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,19/02/2014,15.47,23,
28/01/2014,15.19,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,19/02/2014,15.47,22,
29/01/2014,16.4,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,19/02/2014,15.47,21,
30/01/2014,16.65,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,19/02/2014,15.47,20,
31/01/2014,17.58,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,19/02/2014,15.47,19,
03/02/2014,19.17,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,19/02/2014,15.47,16,
04/02/2014,18.63,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,19/02/2014,15.47,15,
05/02/2014,19.1,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,19/02/2014,15.47,14,
06/02/2014,16.99,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,19/02/2014,15.47,13,
07/02/2014,15.47,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,19/02/2014,15.47,12,
10/02/2014,15.63,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,19/02/2014,15.47,9,
11/02/2014,15.01,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,19/02/2014,15.47,8,
12/02/2014,14.53,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,19/02/2014,15.47,7,
13/02/2014,14.59,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,19/02/2014,15.47,6,
14/02/2014,14.17,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,19/02/2014,15.47,5,
18/02/2014,14.22,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,19/02/2014,15.47,1,14.44
19/02/2014,15.37,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,27,
20/02/2014,14.91,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,26,
21/02/2014,15.14,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,25,
24/02/2014,14.96,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,22,
25/02/2014,14.87,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,21,
26/02/2014,15.27,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,20,
27/02/2014,15.06,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,19,
28/02/2014,15.23,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,18,
03/03/2014,16.57,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,15,
04/03/2014,15.08,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,14,
05/03/2014,15.13,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,13,
06/03/2014,15.02,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,12,
07/03/2014,15.48,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,11,
10/03/2014,15.27,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,8,
11/03/2014,15.52,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,7,
12/03/2014,15.27,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,6,
13/03/2014,16.57,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,5,
14/03/2014,17.67,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,4,
17/03/2014,16.12,CFE_VX_H4,2014,VX/H4,VX/H4_2014,VX/H4_2014,18/03/2014,15.46,1,16.13
18/03/2014,15.57,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,29,
19/03/2014,15.97,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,28,
20/03/2014,15.72,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,27,
21/03/2014,15.95,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,26,
24/03/2014,15.9,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,23,
25/03/2014,15.65,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,22,
26/03/2014,16.05,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,21,
27/03/2014,15.7,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,20,
28/03/2014,15.55,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,19,
31/03/2014,15.15,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,16,
01/04/2014,14.45,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,15,
02/04/2014,14.58,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,14,
03/04/2014,14.45,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,13,
04/04/2014,14.85,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,12,
07/04/2014,15.5,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,9,
08/04/2014,15.15,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,8,
09/04/2014,14.5,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,7,
10/04/2014,15.85,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,6,
11/04/2014,16.85,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,5,
14/04/2014,16.2,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,2,
15/04/2014,15.65,CFE_VX_J4,2014,VX/J4,VX/J4_2014,VX/J4_2014,16/04/2014,14.67,1,16.4
16/04/2014,15.85,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,35,
17/04/2014,15.55,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,34,
21/04/2014,15.4,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,30,
22/04/2014,15.2,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,29,
23/04/2014,15.35,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,28,
24/04/2014,15.5,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,27,
25/04/2014,15.6,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,26,
28/04/2014,15.2,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,23,
29/04/2014,15,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,22,
30/04/2014,15,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,21,
01/05/2014,14.9,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,20,
02/05/2014,14.9,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,19,
05/05/2014,14.6,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,16,
06/05/2014,14.74,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,15,
07/05/2014,14.39,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,14,
08/05/2014,14.44,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,13,
09/05/2014,14.05,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,12,
12/05/2014,13.5,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,9,
13/05/2014,13.5,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,8,
14/05/2014,13.2,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,7,
15/05/2014,13.7,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,6,
16/05/2014,13.25,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,5,
19/05/2014,13,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,2,
20/05/2014,13.05,CFE_VX_K4,2014,VX/K4,VX/K4_2014,VX/K4_2014,21/05/2014,12.27,1,14.35
21/05/2014,14.1,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,28,
22/05/2014,14.04,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,27,
23/05/2014,13.85,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,26,
27/05/2014,13.45,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,22,
28/05/2014,13.45,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,21,
29/05/2014,13.25,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,20,
30/05/2014,13.35,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,19,
02/06/2014,13.2,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,16,
03/06/2014,13.3,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,15,
04/06/2014,13.15,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,14,
05/06/2014,12.65,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,13,
06/06/2014,12,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,12,
09/06/2014,12.2,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,9,
10/06/2014,12.05,CFE_VX_M4,2014,VX/M4,VX/M4_2014,VX/M4_2014,18/06/2014,11.74,8,
